Threshold, DrainDen, NoFirstOrd,NoHighOrd, MeanDFirstOrd, MeanDHighOrd, StdDevFirstOrd, StdDevHighOrd, T
5.000000, 2.600098e-003, 2394, 729, 68.691010, 128.646576, 77.710274, 132.430161, -15.176928
8.340503, 1.957702e-003, 1239, 371, 88.713181, 147.549316, 99.124306, 142.494217, -8.987093
13.912798, 1.622408e-003, 824, 245, 100.623047, 162.180084, 104.181519, 153.861176, -7.204884
23.207947, 1.290646e-003, 481, 144, 117.487740, 188.351089, 109.078842, 165.318787, -6.003524
38.713192, 1.046937e-003, 308, 99, 118.610893, 213.769379, 107.467735, 171.588226, -6.536290
64.577499, 8.282648e-004, 197, 72, 117.083679, 215.004456, 125.489609, 166.168884, -5.171746
107.721756, 6.665160e-004, 112, 38, 160.808426, 239.083878, 153.113770, 162.634705, -2.680492
179.690720, 5.533681e-004, 77, 19, 195.285400, 269.439911, 165.066818, 156.966827, -1.770036
299.742218, 4.365431e-004, 52, 14, 200.697647, 255.433456, 136.855240, 168.146454, -1.264493
500.000183, 3.240242e-004, 32, 4, 209.430817, 289.485138, 151.132065, 135.973572, -1.007311
Optimum Threshold Value: 179.690720
