Threshold, DrainDen, NoFirstOrd,NoHighOrd, MeanDFirstOrd, MeanDHighOrd, StdDevFirstOrd, StdDevHighOrd, T
5.000000, 2.600098e-003, 2394, 729, 68.691040, 128.646591, 77.710251, 132.430145, -15.176927
8.340503, 1.957702e-003, 1239, 371, 88.713211, 147.549271, 99.124260, 142.494278, -8.987083
13.912798, 1.622408e-003, 824, 245, 100.623055, 162.180069, 104.181496, 153.861176, -7.204882
23.207947, 1.290646e-003, 481, 144, 117.487785, 188.351105, 109.078819, 165.318756, -6.003522
38.713192, 1.046937e-003, 308, 99, 118.610870, 213.769379, 107.467758, 171.588211, -6.536291
64.577499, 8.282648e-004, 197, 72, 117.083679, 215.004456, 125.489594, 166.168900, -5.171746
107.721756, 6.665160e-004, 112, 38, 160.808426, 239.083878, 153.113770, 162.634750, -2.680492
179.690720, 5.533681e-004, 77, 19, 195.285385, 269.439911, 165.066833, 156.966827, -1.770036
299.742218, 4.365431e-004, 52, 14, 200.697647, 255.433456, 136.855225, 168.146454, -1.264493
500.000183, 3.240242e-004, 32, 4, 209.430801, 289.485138, 151.132095, 135.973572, -1.007311
Optimum Threshold Value: 179.690720
